"Date","line_out_depth","chl_20um","chl_GF.F","chl_3um","chl_Bulk.GF.F","phaeo_20um","phaeo_GF.F","phaeo_3um","phaeo_Bulk.GF.F","phaeo.chla","SumChl"
2017-03-15,2.5,3.0637463805,0.102357851,0.255895751,3.101936625,1.186636837,0.157010758,0.1939675475,1.8705476375,0.603025742829288,3.4219999825
2017-03-30,2.5,2.197376102,0.1037519985,0.14824342,2.0728576675,1.3242766895,0.1761099055,0.155865774,1.2756407565,0.615402001063828,2.4493715205
2017-04-07,2.5,3.2143230375,0.096217494,0.250221008,3.367655195,1.4951883965,0.169797449,0.185972232,2.652856117,0.787745764750123,3.5607615395
2017-04-11,2.5,0.4185628775,0.0570510995,0.1170158255,0.5613130385,0.323414665,0.1749987685,0.1877294765,0.696340738,1.24055685551299,0.5926298025
2017-04-20,2.5,9.4444454265,0.2376772775,0.6434273425,10.473525285,3.5296535475,0.2804485995,0.3538416735,6.097851994,0.582215808724235,10.3255500465
2017-04-24,2.5,3.3774802605,0.084509533,0.278716685,6.2706407045,1.365100243,0.185513555,0.234241164,4.7336193635,0.754886077287607,3.7407064785
2017-05-02,2.5,0.2089356535,0.121708803,0.207482659,0.459029084,0.129420626,0.134244429,0.1165009685,0.2813023905,0.612820407911234,0.5381271155
2017-05-08,2.5,0.108587827,0.112976684,0.1372467945,0.3738423555,0.096209785,0.1284964285,0.100272571,0.213090956,0.570002175689801,0.3588113055
2017-05-17,2.5,0.294099023,0.1619724115,0.1480075805,0.782144876,0.117628306,0.143150427,0.1043082635,0.4540526725,0.580522466403015,0.604079015
2017-05-29,2.5,0.249346381,0.9436069765,0.4121698355,1.9057947205,0.140259866,0.3709046905,0.166786695,0.808654906,0.42431375074218,1.605123193
2017-06-05,2.5,0.5046819575,0.053184009,0.1644882555,1.177627396,0.8012881705,0.1215993265,0.1230524965,1.083446701,0.920025047549081,0.722354222
2017-06-12,2.5,0.086051697,0.535524123,0.321449419,1.0119190655,0.098772859,0.209056671,0.1076483045,0.5253458565,0.519157978548829,0.943025239
2017-06-19,2.5,1.3316726875,0.345838123,0.456887663,2.1065649435,0.5722183955,0.2447866795,0.217628075,0.813579775,0.38621157990423,2.1343984735
2017-06-29,2.5,0.3994329415,0.7430234035,0.2247795625,1.223870767,0.1555627325,0.236280977,0.1091242555,0.768805525,0.628175413393136,1.3672359075
2017-07-07,2.5,0.04653379,0.376677144,0.1152194035,0.5247294215,0.0807952935,0.2472660115,0.0793049525,0.4275874655,0.814872290327635,0.5384303375
2017-07-11,2.5,0.1381930715,0.7662037115,0.22435595,1.1309813025,0.106164566,0.2931470945,0.0928958405,0.5650880385,0.49964401467194,1.128752733
2017-07-12,2.5,NA,1.769104731,NA,0.934159928,NA,0.533142143,NA,0.449423642,0.481099251347891,NA
2017-07-17,2.5,0.0754045635,0.5725234915,0.079564095,0.7420200755,0.0872737015,0.446957269,0.0735491095,0.571165568,0.769744090299886,0.72749215
2017-07-24,2.5,0.0862691185,0.7220669475,0.2722355965,0.849380415,0.0672909095,0.169163368,0.1314359365,0.230982153,0.2719419342863,1.0805716625
2017-08-04,2.5,0.2368221345,0.789898832,0.484439253,1.649569941,0.1787554595,0.4902712225,0.2334336135,1.0577393885,0.641221303934999,1.5111602195
2017-08-08,2.5,0.16616048,0.9222332435,0.343913944,1.4951243695,0.132207725,0.600798946,0.166199631,0.7950837135,0.531784331604395,1.4323076675
2017-08-15,2.5,1.0961880315,1.0977181135,0.3731098395,2.957963472,0.7826493825,0.7184042555,0.1751236555,2.0961267675,0.708638489738591,2.5670159845
2017-08-21,2.5,0.72195381,1.237249807,0.708471402,3.332466195,0.3836384425,0.8278680475,0.3029601255,1.6884358575,0.506662561208667,2.667675019
2017-08-29,2.5,0.289413011,1.2202377595,0.6784365075,2.517333336,0.211213622,0.6722455515,0.36235896,1.165677621,0.463060495139766,2.188087278
2017-09-05,2.5,1.334217082,0.09034478,0.173658418,1.8691053645,1.037199863,0.199646684,0.125620503,1.182468566,0.632638795253963,1.59822028
2017-09-12,2.5,0.164552956,1.7373481495,0.450303417,2.969522012,0.172935852,1.0392416725,0.256553243,1.5036788605,0.506370673267803,2.3522045225
2017-09-18,2.5,0.361441289,1.7432232895,0.747068057,2.7216357335,0.230455347,0.8945885055,0.381155064,1.5591068865,0.572856560967842,2.8517326355
2017-09-26,2.5,1.9256329195,0.757007427,0.5850323675,3.257613831,0.6482772385,0.5888426135,0.399713425,1.5222991095,0.467304962612065,3.267672714
2017-10-03,2.5,0.076850314,0.262513311,0.1760893995,0.532206753,0.1468598125,0.289221309,0.139485745,0.4447870005,0.835740993500697,0.5154530245
2017-10-11,2.5,6.124268384,0.245887134,0.36586754,6.0389182095,2.2666569935,0.261171533,0.252878474,3.442920981,0.570122141343766,6.736023058
2017-10-20,2.5,0.267503897,0.20550851,0.1562329005,0.5265309795,0.226168819,0.402295698,0.2189806585,0.8302481965,1.57682687026016,0.6292453075
2017-10-24,2.5,0.037368034,0.261671632,0.06264172,0.3711191245,0.1208436705,0.3344085775,0.1262575485,0.444871945,1.19873085387169,0.361681386
2017-10-31,2.5,0.075420987,0.7215309605,0.222326282,0.996321371,0.116104533,0.539402186,0.1842587385,0.7379585625,0.740683261425294,1.0192782295
2017-11-08,2.5,0.307178041,0.455202091,0.3165841595,1.1409620915,0.206718147,0.4694630525,0.210223523,0.845135624,0.740721913809526,1.0789642915
2017-11-16,2.5,0.193044906,0.132320478,0.115723241,0.3309749705,0.176193697,0.276176304,0.128870902,0.593488697,1.79315280579502,0.441088625
2017-11-20,2.5,0.112892723,0.0695943485,0.11393484,0.249087712,0.196964334,0.1943444095,0.1868680955,0.435983266,1.75032024863595,0.2964219115
2017-11-27,2.5,0.063191049,0.1425355845,0.078243466,0.3030275255,0.1431635195,0.283724414,0.146248309,0.4492557805,1.48255766455117,0.2839700995
2017-12-06,2.5,0.0738531215,0.227745613,0.1467785475,0.4822446165,0.1411127915,0.307021015,0.1759615845,0.5439580335,1.12797118907806,0.448377282
2017-12-11,2.5,0.048366135,0.3291348525,0.144859916,0.601482759,0.118575482,0.200785304,0.1857383325,0.6957324025,1.15669550305431,0.5223609035
2018-01-03,2.5,0.070518293,0.224826666,0.0591217275,0.4534340555,0.1027829495,0.356579448,0.101285579,0.4971377095,1.09638370446571,0.3544666865
2018-01-09,2.5,0.0603883995,0.1586754045,0.140937707,0.3412533165,0.1156563955,0.2368349395,0.2212298585,0.455011184,1.33335314852537,0.360001511
2018-01-22,2.5,0.097372707,0.110240938,0.131236022,0.307805616,0.1752650095,0.2404075445,0.1396895985,0.5175719295,1.68148955898193,0.338849667
2018-01-31,2.5,0.167110685,0.294576435,0.1430613325,0.6726154965,0.1000924225,0.234796495,0.082898522,0.4590819575,0.682532531422282,0.6047484525
2018-02-06,2.5,0.0456958605,0.4555702755,0.1953515515,0.6173270135,0.0932146735,0.3707067625,0.142497126,0.559894477,0.906965781111084,0.6966176875
2018-02-13,2.5,0.071461263,0.366187491,0.116213618,0.368680104,0.095960059,0.2273108175,0.0923711285,0.4121192395,1.11782337866542,0.553862372
2018-02-19,2.5,0.10158539,0.3148405095,0.24392134,0.6858042145,0.1117100625,0.3948185345,0.228073583,0.7335404835,1.06960626369846,0.6603472395
2018-02-27,2.5,0.187170034,0.261961838,0.141542773,0.549806984,0.1920180195,0.3041671995,0.178047596,0.674316834,1.2264610192729,0.590674645
2018-03-06,2.5,0.3415108315,0.3054271555,0.1585116775,0.6192054505,0.2933436885,0.39397778,0.1399421505,0.8440949185,1.36319038829262,0.8054496645
2018-03-13,2.5,0.3287937325,0.4167972995,0.4940511695,1.1492004175,0.2174081655,0.532760749,0.2646209065,0.985930157,0.857927078676858,1.2396422015
2018-03-20,2.5,11.55782316,0.315465137,0.588335308,11.46902776,5.0775004265,0.3812949025,0.4522527095,7.385763309,0.643974664945793,12.461623605
2018-03-27,2.5,5.2935151595,0.0964589195,0.2052313165,5.070528212,2.654965361,0.183881675,0.2280238465,2.2631305005,0.446330324155191,5.5952053955
2018-04-12,2.5,10.1727472385,0.215515684,0.598077418,11.72047387,3.661704023,0.221053434,0.3133235975,3.319049328,0.283183885294563,10.9863403405
2018-04-17,5,NA,0.047870259,0.119382463,NA,NA,0.075484068,0.100111337,NA,NA,NA
2018-04-24,2.5,1.3767348835,3.28409716,3.460901711,8.628185137,0.426623165,0.476921136,0.347200361,1.1443327445,0.13262728213756,8.1217337545
2018-05-02,2.5,0.9543805975,0.5195429165,0.7113174195,2.382660586,0.5407674375,0.3332720805,0.2805595795,1.1174136225,0.468977255537646,2.1852409335
2018-05-08,2.5,0.600755097,0.105800968,0.132411232,0.572583066,0.320588253,0.0781707625,0.0706082175,0.363628895,0.635067497787299,0.838967297
2018-05-15,2.5,0.601611468,0.5841953885,0.464195174,2.813056956,0.204281455,0.270518434,0.156909517,0.7226841015,0.256903472913543,1.6500020305
2018-05-22,2.5,0.514815771,0.118445798,0.2667325465,0.9072233685,0.302644969,0.0968705385,0.1237958685,0.400892111,0.441889092498613,0.8999941155
2018-05-29,2.5,0.1877750895,1.1764534985,0.3549099155,1.1296004805,0.0896889445,0.535957175,0.1374325905,0.547524331,0.484706177495292,1.7191385035
2018-06-05,2.5,0.2396948045,0.712259173,0.901886953,1.976228184,0.32631104,0.5559238565,0.786825418,1.034102505,0.523270801100972,1.8538409305
2018-06-11,2.5,0.0493260045,0.348054707,0.29297951,0.7613355325,0.0829045505,0.236779336,0.094043869,0.3741802525,0.491478771877759,0.6903602215
2018-06-18,2.5,0.114229818,0.8640463275,0.4147843515,1.267296672,0.06750323,0.62277757,0.1368274125,0.5602534815,0.442085498903606,1.393060497
2018-06-26,2.5,0.072368009,1.3832146345,0.2099615715,1.399930407,0.1116732905,0.915745112,0.106304878,1.0375824975,0.741167198249163,1.665544215
2018-07-11,0,NA,1.734767768,NA,NA,NA,0.734058014,NA,NA,NA,NA
2018-07-16,2.5,0.152758594,0.736006857,0.245378687,1.306799432,0.1057056685,0.3911777395,0.2844016365,0.490555188,0.37538674718371,1.134144138
2018-07-23,2.5,0.3818998775,1.0023981555,0.20023106,1.5347643005,0.2609821965,0.564068771,0.13801349,0.8590502325,0.55972779157043,1.584529093
2018-07-31,2.5,0.231626145,0.0619911905,0.090061724,0.278741813,0.362930713,0.0963295895,0.1594753085,0.4980371945,1.78673299545483,0.3836790595
2018-08-09,2.5,0.093246327,0.154124151,0.126831391,0.534077191,0.062769022,0.123508167,0.082392674,0.3244728275,0.607539196520377,0.374201869
2018-08-14,2.5,0.1012349755,1.6369554485,0.398946437,1.4787993715,0.0681962495,0.8938751315,0.1566235055,0.7457552755,0.504297803929652,2.137136861
2018-08-21,2.5,0.1566460485,1.052175953,0.3029274365,1.4730900435,0.0820583475,0.6157553365,0.1149058505,0.81994266,0.556614080461674,1.511749438
2018-08-29,2.5,7.1795750325,0.8209156535,1.2231162435,11.764862095,2.2260245995,0.311091805,0.407041838,2.3888278305,0.203047669510316,9.2236069295
2018-09-04,2.5,2.115155355,0.2002635735,0.62839589,5.371786163,1.59098056,0.1735122125,0.209965328,1.1952147355,0.222498569234279,2.9438148185
2018-09-13,2.5,0.078032384,0.6693880395,0.2956758485,1.114350349,0.0679809325,0.3194464665,0.117209774,0.5013699365,0.449921280995623,1.043096272
2018-09-18,2.5,0.1305545835,1.459897294,0.3755154045,2.228443985,0.176749616,0.700357464,0.182210724,0.99118316,0.444787110051591,1.965967282
2018-10-04,2.5,5.8321891595,0.1483051255,0.4664385885,4.947222671,1.2868369245,0.211595531,0.255737256,1.2086981225,0.244318520285177,6.4469328735
2018-10-16,2.5,5.438431556,0.5199073475,0.484155204,5.445091119,1.157714282,0.3579952265,0.155238521,1.3554935275,0.248938630754987,6.4424941075
2018-10-24,2.5,1.00843092,0.5259497245,0.385716651,3.0662597465,0.32763107,0.30364103,0.287127804,0.8712071325,0.284126983532443,1.9200972955
2018-10-30,2.5,0.9518177045,0.2355458295,0.163342366,1.4086100335,0.4871444605,0.265917573,0.15315747,0.931563089,0.661334980473856,1.3507059
2018-11-07,2.5,0.1615261475,0.291230014,0.136134989,0.584601097,0.1281377065,0.2155256095,0.095364023,0.3308333075,0.56591290915761,0.5888911505
2018-11-16,2.5,0.190115479,0.695923947,0.2393668445,1.0774486495,0.153386273,0.487894961,0.1478617175,0.6584845215,0.611151651455107,1.1254062705
2018-11-19,2.5,0.127351038,0.5907752235,0.216727439,1.009549941,0.12907338,0.3636510315,0.154039934,0.5907837225,0.585195143406977,0.9348537005
2018-11-28,2.5,0.079162432,0.1339845905,0.0673544645,0.313032839,0.114233622,0.152602456,0.078212761,0.3122815135,0.99759985085782,0.280501487
2018-12-04,2.5,0.0680267825,0.268170481,0.0912175,0.4578109835,0.0569079015,0.1769665025,0.068212868,0.2720038795,0.594140134910066,0.4274147635
